ID;Active;Name;Parent ID;Parent Name;Root Category
53;1;Energia i koncentracja;4;Zdrowie i kondycja;0
54;1;Pobudzenie;53;Energia i koncentracja;0
55;1;Odzież treningowa;32;Akcesoria i ubrania;0
56;1;Bokserki i koszulki;55;Odzież treningowa;0
57;1;Odżywki Potreningowe;7;Odżywki i suplementy;0
58;1;Carbo / Węglowodany / Izotoniki;57;Odżywki Potreningowe;0
59;1;Batony;44;Słodycze i przekąski;0
60;1;Glutamina;51;Aminokwasy;0
61;1;Dżemy i frużeliny;22;Kuchnia i dieta;0
62;1;Przedtreningówka;19;Odżywki Przedtreningowe;0
63;1;Kawy i herbaty;17;Napoje;0
64;1;Batony energetyczne;44;Słodycze i przekąski;0
65;1;Czekolady;44;Słodycze i przekąski;0
66;1;Rękawiczki treningowe;33;Akcesoria treningowe;0
67;1;Dla mężczyzn;7;Odżywki i suplementy;0
68;1;Boostery testosteronu;67;Dla mężczyzn;0
69;1;Żele energetyczne;57;Odżywki Potreningowe;0
70;1;Oleje i tłuszcze;22;Kuchnia i dieta;0
71;1;Musli i granole;22;Kuchnia i dieta;0
72;1;Naleśniki proteinowe;22;Kuchnia i dieta;0
73;1;Odchudzanie i trawienie;4;Zdrowie i kondycja;0
74;1;Wątroba;73;Odchudzanie i trawienie;0
75;1;Trawienie;73;Odchudzanie i trawienie;0
76;1;Białko wegańskie/ roślinne;8;Białko;0
77;1;Nerki;55;Odzież treningowa;0
78;1;MSM;24;Ochrona stawów;0
79;1;Koncentracja;53;Energia i koncentracja;0
80;1;Skóra, włosy, paznokcie;11;Zdrowie;0
81;1;Pozostałe kreatyny;14;Kreatyna;0
82;1;Orzechy;44;Słodycze i przekąski;0
83;1;Czapki;55;Odzież treningowa;0
84;1;Probiotyki;73;Odchudzanie i trawienie;0
85;1;TCM - jabłczan kreatyny;14;Kreatyna;0
86;1;Shoty pozostałe;42;Shoty;0
87;1;Pozostałe produkty;22;Kuchnia i dieta;0
88;1;Ciastka;44;Słodycze i przekąski;0
89;1;Gumy do ćwiczeń;33;Akcesoria treningowe;0
90;1;Spalacze tłuszczu;7;Odżywki i suplementy;0
91;1;Ze stymulantami;90;Spalacze tłuszczu;0
92;1;Pozostałe produkty;67;Dla mężczyzn;0
93;1;Bez stymulantów;90;Spalacze tłuszczu;0
94;1;Superfoods;22;Kuchnia i dieta;0
95;1;Owoce liofilizowane i suszone;44;Słodycze i przekąski;0
96;1;Aminokwasy BCAA;51;Aminokwasy;0
97;1;Wzrok i oczy;11;Zdrowie;0
98;1;Izotoniki;57;Odżywki Potreningowe;0
99;1;Miksy składnikowe;24;Ochrona stawów;0
100;1;Pozostałe aminokwasy;51;Aminokwasy;0
101;1;Prozdrowotne;2;Zdrowie i kondycja;0
102;1;Glukozamina;24;Zdrowie;0
103;1;Mąki;22;Kuchnia i dieta;0
104;1;Lody proteinowe;22;Kuchnia i dieta;0
105;1;Miksy składnikowe;57;Odżywki Potreningowe;0
106;1;Pozostałe napoje;17;Napoje;0
107;1;Aminokwasy;2;Odżywki i suplementy;0
108;1;BCAA;108;Aminokwasy;0
